Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PUBLIC,QLD,THE PRINCE CHARLES HOSPITAL,0051400F,627 RODE ROAD,CHERMSIDE,4032,NO,,
PUBLIC,VIC,THE QUEEN ELIZABETH CENTRE,0030960L,53 THOMAS STREET,NOBLE PARK,3174,NO,,
PUBLIC,SA,THE QUEEN ELIZABETH HOSPITAL,0060010K,28 WOODVILLE ROAD,WOODVILLE,5011,NO,,
PUBLIC,SA,THE ROYAL ADELAIDE HOSPITAL,0060030H,PORT ROAD,ADELAIDE,5000,NO,,
PUBLIC,VIC,THE ROYAL CHILDRENS HOSPITAL,0031020F,50 FLEMINGTON ROAD,PARKVILLE,3052,NO,,
PUBLIC,VIC,THE ROYAL VICTORIAN EYE AND EAR HOSPITAL,0031240T,32 GISBORNE STREET,EAST MELBOURNE,3002,NO,,
PUBLIC,VIC,THE ROYAL WOMEN'S HOSPITAL,0031040A,20 FLEMINGTON ROAD,PARKVILLE,3052,NO,,
PRIVATE,NSW,THE SAN DAY SURGERY,0017150A,1A NORTHCOTE ROAD,HORNSBY,2077,YES,13-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,THE SKIN HOSPITAL,0834361A,7 ASHLEY LANE,WESTMEAD,2145,YES,02-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,THE SKIN HOSPITAL (DARLINGHURST),0027380T,121 CROWN STREET,DARLINGHURST,2010,YES,03-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,THE SOUTHPORT PRIVATE HOSPITAL,0056180F,21 SPENDELOVE AVENUE,SOUTHPORT,4215,YES,12-01-24,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,THE SUTHERLAND HOSPITAL,0010480W,430 KINGSWAY,CARINGBAH,2229,NO,,
PRIVATE,NSW,THE SYDNEY CLINIC,0016630T,22-24 MURRAY STREET,BRONTE,2024,YES,22-08-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,THE SYDNEY PRIVATE HOSPITAL,0015770K,63 VICTORIA STREET,ASHFIELD,2131,YES,08-06-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,SA,THE TENNYSON CENTRE DAY HOSPITAL,0067130L,"TENANCY 18, LEVEL 1, 520 SOUTH ROAD",KURRALTA PARK,5037,YES,14-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,THE TOOWOOMBA CLINIC,0056210T,18 PECHEY STREET,SOUTH TOOWOOMBA,4350,NO,,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,NSW,THE TWEED HOSPITAL,0012690L,14 POWELL STREET,TWEED HEADS,2485,NO,,
PRIVATE,VIC,THE VICTORIA CLINIC,0036170W,324 MALVERN ROAD,PRAHRAN,3181,YES,28-04-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,THE VICTORIAN REHABILITATION CENTRE,0036640B,499 SPRINGVALE ROAD,GLEN WAVERLEY,3150,YES,09-03-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,QLD,THE WESLEY HOSPITAL,0055690L,451 CORONATION DRIVE,AUCHENFLOWER,4066,YES,28-02-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,THEODORE HOSPITAL,0051270Y,85 THE BOULEVARD,THEODORE,4719,NO,,
PUBLIC,VIC,THOMAS EMBLING HOSPITAL,0032010Y,YARRA BEND ROAD,FAIRFIELD,3078,NO,,
PUBLIC,QLD,THURSDAY ISLAND HOSPITAL,0051280X,93 VICTORIA PARADE,THURSDAY ISLAND,4875,NO,,
PUBLIC,NSW,TIBOOBURRA HEALTH SERVICE,0012120B,STURT STREET,TIBOOBURRA,2880,NO,,
PUBLIC,VIC,TIMBOON & DISTRICT HEALTHCARE SERVICE,0031200A,21 HOSPITAL ROAD,TIMBOON,3268,NO,,
PUBLIC,NSW,TINGHA MULTIPURPOSE SERVICE,0012130A,INVERELL ROAD,TINGHA,2369,NO,,
PUBLIC,NSW,TOCUMWAL HOSPITAL,0012140Y,ADAMS STREET,TOCUMWAL,2714,NO,,
PUBLIC,WA,TOM PRICE HOSPITAL,0071140Y,862 MINE ROAD,TOM PRICE,6751,NO,,
PUBLIC,NSW,TOMAREE COMMUNITY HOSPITAL,0010000F,2 TREVALLY STREET,NELSON BAY,2315,NO,,
PRIVATE,VIC,TOORAK COSMETIC SURGERY DAY CENTRE,0044210B,109 MATHOURA ROAD,TOORAK,3142,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,TOORAK-MALVERN DAY SURGERY CENTRE,0043790X,30-32 GLENFERRIE ROAD,MALVERN,3144,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,TAS,TOOSEY AGED AND COMMUNITY CARE,0080150K,10 ARCHER STREET,LONGFORD,7301,NO,,
PRIVATE,QLD,TOOWONG PRIVATE HOSPITAL,0055670W,496 MILTON ROAD,TOOWONG,4066,YES,28-02-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,QLD,TOOWOOMBA HOSPICE,0056030X,57B O'QUINN STREET,TOOWOOMBA,4350,YES,03-02-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,QLD,TOOWOOMBA HOSPITAL,0051290W,PECHEY STREET,TOOWOOMBA,4350,NO,,
PRIVATE,QLD,TOOWOOMBA SURGICENTRE,0656571H,18 SCOTT STREET,TOOWOOMBA,4350,YES,28-10-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,TORONTO PRIVATE HOSPITAL,0016480L,CARY STREET,TORONTO,2283,YES,27-09-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,TOTTENHAM HOSPITAL,0012150X,LOT 10 MOONDANA STREET,TOTTENHAM,2873,NO,,
PRIVATE,QLD,TOWNSVILLE DAY SURGERY,0057240A,"1 MARTINEZ AVENUE, WEST END",TOWNSVILLE,4810,YES,31-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,TOWNSVILLE PRIVATE CLINIC,0056140L,136-146 WILLS STREET,TOWNSVILLE CITY,4810,YES,07-05-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,QLD,TOWNSVILLE UNIVERSITY HOSPITAL,0051840B,100 ANGUS SMITH DRIVE,DOUGLAS,4814,NO,,
PUBLIC,NSW,TRANGIE MULTI PURPOSE HEALTH SERVICE,0012160W,1 HARRIS STREET,TRANGIE,2823,NO,,
PUBLIC,NSW,TRESILLIAN FAMILY CARE CENTRE - BELMORE,0010350F,11 MCKENZIE STREET,BELMORE,2192,NO,,
PUBLIC,NSW,TRESILLIAN FAMILY CARE CENTRE - WILLOUGHBY,0010370A,2 SECOND AVENUE,WILLOUGHBY,2068,NO,,
PUBLIC,NSW,TRESILLIAN FAMILY CARE CENTRE - WOLLSTONECRAFT,0012810Y,25 SHIRLEY ROAD,WOLLSTONECRAFT,2065,NO,,
PUBLIC,NSW,TRUNDLE MULTI PURPOSE SERVICE,0012580X,44 BROOKVIEW STREET,TRUNDLE,2875,NO,,
PRIVATE,NSW,TUGGERAH LAKES PRIVATE HOSPITAL,0017600L,645 PACIFIC HIGHWAY,KANWAL,2259,YES,06-01-24,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,TULLAMORE MULTI PURPOSE HEALTH SERVICE,0012170T,1 HINKLER STREET,TULLAMORE,2874,NO,,
PUBLIC,QLD,TULLY HOSPITAL,0051310H,17 BRYANT STREET,TULLY,4854,NO,,
PUBLIC,NSW,TUMBARUMBA MULTI PURPOSE SERVICE,0012180L,4 MITCHELL STREET,TUMBARUMBA,2653,NO,,
PUBLIC,SA,TUMBY BAY HOSPITAL,0060540H,8-11 ESPLANADE,TUMBY BAY,5605,NO,,
PUBLIC,NSW,TUMUT DISTRICT HOSPITAL,0012190K,105 SIMPSON STREET,TUMUT,2720,NO,,
PUBLIC,VIC,TWEDDLE CHILD AND FAMILY HEALTH SERVICE,0031220X,53 ADELAIDE STREET,FOOTSCRAY,3011,NO,,
PRIVATE,NSW,TWEED DAY SURGERY,0999441J,"SUITE 4, 38-44 BOYD STREET",TWEED HEADS,2485,YES,01-04-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ULLADULLA ENDOSCOPY & MEDICAL CENTRE,0027260A,111 PRINCES HIGHWAY,ULLADULLA,2539,YES,17-03-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,ACT,UNIVERSITY OF CANBERRA HOSPITAL,0090050Y,20 GURAGUMA STREET ,BRUCE,2617,NO,,
PUBLIC,VIC,UPPER MURRAY HEALTH AND COMMUNITY SERVICES,0030290L,20 KIELL STREET,CORRYONG,3707,NO,,
PUBLIC,NSW,URANA HEALTH SERVICE,0011620L,127-129 PRINCESS ST,URANA,2645,NO,,
PUBLIC,NSW,URBENVILLE HEALTH SERVICE,0012230X,45 BEAURY STREET,URBENVILLE,2475,NO,,
PRIVATE,VIC,VCI DAY SURGERY,0044260T,"LEVEL 1, 268 MANNINGHAM ROAD",TEMPLESTOWE LOWER,3107,YES,21-08-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,VERMONT PRIVATE HOSPITAL,0036970H,LEVEL 2/645-647 BURWOOD HIGHWAY,VERMONT SOUTH,3133,YES,21-12-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,SA,VICTOR HARBOR PRIVATE HOSPITAL INCORPORATED,0065860W,35 BAY ROAD,VICTOR HARBOR,5211,YES,03-10-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,VICTORIA GUT CENTRE BUNDOORA,0043920B,119 PLENTY ROAD,BUNDOORA,3083,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,VICTORIA PARADE SURGERY CENTRE,0043860Y,"LEVEL 1, 100 VICTORIA PARADE",EAST MELBOURNE,3002,YES,04-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,VICTORIAN CENTRE FOR MENTAL HEALTH,0044200F,112-116/445 PRINCES HWY,OFFICER,3809,YES,04-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,VISION CENTRE DAY SURGERY,0057090Y,95 NERANG STREET,SOUTHPORT,4215,YES,25-11-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,VISION DAY SURGERY CAMBERWELL,0656581F,27 DENMARK HILL ROAD,HAWTHORN EAST,3123,YES,01-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,VISION DAY SURGERY CHATSWOOD,0026880B,"LEVELS 3 & 4, 270 VICTORIA STREET",CHATSWOOD,2067,YES,04-06-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,VISION DAY SURGERY EASTERN,0834421F,852-856 WHITEHORSE ROAD,BOX HILL,3128,YES,31-03-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,VISION DAY SURGERY FOOTSCRAY,0656351X,89 PAISLEY STREET,FOOTSCRAY,3011,YES,01-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,VISTA DAY SURGERY,0067160H,57 GREENHILL ROAD,WAYVILLE,5034,YES,07-01-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,WAGGA WAGGA RURAL REFERRAL HOSPITAL,0012250T,260-280 EDWARD STREET,WAGGA WAGGA,2650,NO,,
PUBLIC,WA,WAGIN HOSPITAL,0070740F,WARWICK STREET,WAGIN,6315,NO,,
PUBLIC,SA,WAIKERIE HEALTH SERVICES,0060560B,1 LAWRIE TERRACE,WAIKERIE,5330,NO,,
PRIVATE,WA,WAIKIKI PRIVATE HOSPITAL,0075500B,221 WILLMOT DRIVE,WAIKIKI,6169,YES,01-07-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,WALCHA MULTIPURPOSE SERVICE,0012270K,11 MIDDLE STREET,WALCHA,2354,NO,,
PRIVATE,WA,WALCOTT STREET SURGICAL CENTRE,0077150T,41 WALCOTT STREET,MOUNT LAWLEY,6050,YES,27-08-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,WALGETT HEALTH SERVICE,0012280J,141 FOX STREET,WALGETT,2832,NO,,
PUBLIC,SA,WALLAROO HOSPITAL,0060570A,1 ERNEST TERRACE,WALLAROO,5556,NO,,
PRIVATE,VIC,WANGARATTA PRIVATE HOSPITAL,0036690T,134-150 TEMPLETON STREET,WANGARATTA,3677,YES,02-06-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,WANTIRNA HEALTH,0032000A,251 MOUNTAIN HIGHWAY,WANTIRNA,3152,NO,,
PUBLIC,NSW,WAR MEMORIAL HOSPITAL,0012590W,125 BIRRELL STREET,WAVERLEY,2024,NO,,
PRIVATE,NSW,WARATAH PRIVATE HOSPITAL,0017390H,"LEVEL 1, 31 DORA STREET",HURSTVILLE,2220,YES,21-07-23,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,WARIALDA MULTIPURPOSE SERVICE,0012300Y,LONG STREET,WARIALDA,2402,NO,,
PRIVATE,NSW,WARNERS BAY PRIVATE HOSPITAL,0016880X,FAIRFAX ROAD,WARNERS BAY,2282,YES,28-11-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,WA,WARREN HOSPITAL,0070470K,HOSPITAL AVENUE,MANJIMUP,6258,NO,,
PUBLIC,NSW,WARREN MULTI PURPOSE HEALTH SERVICE,0012310X,LOT 176 DR KATER DRIVE,WARREN,2824,NO,,
PRIVATE,NSW,WARRINGAH MALL DAY SURGERY,0656991J,2/1A CROSS STREET,BROOKVALE,2100,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,WARRINGAL PRIVATE HOSPITAL,0036490A,216 BURGUNDY STREET; LEVEL 2/10 MARTIN STREET; & LEVEL 1/8 MARTIN STREET,HEIDELBERG,3084,YES,15-05-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,WARWICK HOSPITAL,0051340A,56 LOCKE STREET,WARWICK,4370,NO,,
PUBLIC,NSW,WAUCHOPE DISTRICT MEMORIAL HOSPITAL,0012320W,69 HIGH STREET,WAUCHOPE,2446,NO,,
PRIVATE,VIC,WAVERLEY ENDOSCOPY,0657311X,301 BLACKBURN ROAD,MOUNT WAVERLEY,3149,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,WAVERLEY HOUSE PLASTIC SURGERY CENTRE,0882301T,360 SOUTH TERRACE,ADELAIDE,5000,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,WAVERLEY PRIVATE HOSPITAL,0036360K,343-357 BLACKBURN ROAD,MOUNT WAVERLEY,3149,YES,25-09-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,WEE WAA COMMUNITY HOSPITAL,0012330T,60 ALMA STREET,WEE WAA,2388,NO,,
PUBLIC,QLD,WEIPA HOSPITAL,0051520X,LOT 407 JOHN EVANS DRIVE,WEIPA,4874,NO,,
PUBLIC,NSW,WELLINGTON HEALTH SERVICE,0012350K,30 THORNTON STREET,WELLINGTON,2820,NO,,
PUBLIC,NSW,WENTWORTH DISTRICT HOSPITAL,0012360J,SILVER CITY HIGHWAY,WENTWORTH,2648,NO,,
PRIVATE,VIC,WERRIBEE ENDOSCOPY CENTRE,0043870X,179-181 PRINCES HIGHWAY,WERRIBEE,3030,YES,24-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,WERRIBEE MERCY HOSPITAL,0031870H,300 PRINCES HIGHWAY,WERRIBEE,3030,NO,,
PUBLIC,VIC,WERRIBEE MERCY MENTAL HEALTH PROGRAM,0032120T,298 PRINCES HIGHWAY,WERRIBEE,3030,NO,,
PUBLIC,NSW,WERRIS CREEK COMMUNITY HOSPITAL,0012370H,22-34 NORTH STREET,WERRIS CREEK,2341,NO,,
PRIVATE,NSW,WESLEY HOSPITAL ASHFIELD,0016210L,91 MILTON STREET,ASHFIELD,2131,YES,28-01-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,WESLEY HOSPITAL KOGARAH,0016230J,7 BLAKE STREET,KOGARAH,2217,YES,28-01-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,QLD,WESLEY HYPERBARIC,0928171B,"GROUND FLOOR, SANDFORD JACKSON BUILDING,  CHASELY STREET",AUCHENFLOWER,4066,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,TAS,WEST COAST DISTRICT HOSPITAL,0080170H,ORR STREET,QUEENSTOWN,7467,NO,,
PRIVATE,WA,WEST COAST ENDOSCOPY CENTRE,0075640L,1/32 PIMLICO PLACE,JOONDALUP,6027,YES,12-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,WEST GIPPSLAND HEALTHCARE GROUP,0031310W,41 LANDSBOROUGH STREET,WARRAGUL,3820,NO,,
PRIVATE,WA,WEST LEEDERVILLE PRIVATE HOSPITAL,0075710T,"LEVEL 3, 2 MCCOURT STREET",WEST LEEDERVILLE,6007,YES,06-07-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,WEST WIMMERA HEALTH SERVICE - JEPARIT,0031370F,2 CHARLES STREET,JEPARIT,3423,NO,,
PUBLIC,VIC,WEST WIMMERA HEALTH SERVICE - KANIVA,0031900W,9 FARMERS STREET,KANIVA,3419,NO,,
PUBLIC,VIC,WEST WIMMERA HEALTH SERVICE - NHILL,0031900W,45 NELSON STREET,NHILL,3418,NO,,
PUBLIC,VIC,WEST WIMMERA HEALTH SERVICE - RAINBOW,0031900W,2 SWINBOURNE AVENUE,RAINBOW,3424,NO,,
PUBLIC,VIC,WESTERN DISTRICT HEALTH SERVICE - COLERAINE,0030280T,119 MCKEBERY STREET,COLERAINE,3315,NO,,
PUBLIC,VIC,WESTERN DISTRICT HEALTH SERVICE - HAMILTON,0030490F,20 FOSTER STREET,HAMILTON,3300,NO,,
PUBLIC,VIC,WESTERN DISTRICT HEALTH SERVICE - PENSHURST,0030890K,146 COBB STREET,PENSHURST,3289,NO,,
PRIVATE,VIC,WESTERN GASTROENTEROLOGY SERVICES,0656761A,30 ELEANOR STREET,FOOTSCRAY,3011,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,WESTERN HAEMATOLOGY AND ONCOLOGY CLINICS,0077280F,18 PROWSE STREET,WEST PERTH,6005,YES,17-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,WESTERN HOSPITAL,0065780W,168 CUDMORE TERRACE,HENLEY BEACH,5022,YES,02-12-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,VIC,WESTERN HOSPITAL,0031850K,160 GORDON STREET,FOOTSCRAY,3011,NO,,
PRIVATE,VIC,WESTERN PRIVATE HOSPITAL,0036770T,1-9 MARION STREET,FOOTSCRAY,3011,YES,28-03-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,NSW,WESTERN SYDNEY PRIVATE ONCOLOGY AND INFUSION CENTRE,0027370W,"LEVEL 2, WESTMEAD SPECIALIST CENTRE, 16-18 MONS ROAD",WESTMEAD,2145,YES,23-06-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
